sID	Transformation	Side	Selection	Attention_Confirmation	Age	Sex	Duration (sek)
1787	X_sym	left	1	1	29	2	55
1792	X_sym	left	2	1	29	2	157
1817	X_sym	left	2	1	24	2	88
1827	X_sym	left	2	1	42	2	146
1845	X_sym	left	2	1	57	2	86
1864	X_sym	left	2	1	35	1	88
1874	X_sym	left	2	1	22	2	99
1876	X_sym	left	2	1	18	1	108
1907	X_sym	left	2	1	32	1	88
1920	X_sym	left	2	1	59	1	126
1938	X_sym	left	2	1	34	1	80
1945	X_sym	left	2	1	42	2	115
1956	X_sym	left	2	1	20	2	93
1958	X_sym	left	2	1	77	2	249
1964	X_sym	left	2	1	20	1	94
1993	X_sym	left	1	1	23	1	126
2017	X_sym	left	1	1	35	2	59
2024	X_sym	left	2	1	35	2	98
2035	X_sym	left	2	1	20	2	103
2060	X_sym	left	2	1	43	2	75
2067	X_sym	left	2	1	22	1	68
2076	X_sym	left	2	1	44	2	106
2100	X_sym	left	1	1	67	1	124
2101	X_sym	left	1	1	54	1	73
2123	X_sym	left	2	1	27	1	114
2142	X_sym	left	2	1	32	1	92
2145	X_sym	left	2	1	60	1	114
2174	X_sym	left	2	1	38	1	70
2185	X_sym	left	1	1	23	2	113
2194	X_sym	left	1	1	41	2	105
2214	X_sym	left	2	1	27	2	108
2224	X_sym	left	2	1	29	2	55
2235	X_sym	left	1	1	25	1	100
1384	X_sym	right	2	1	26	2	131
1401	X_sym	right	2	1	40	2	101
1420	X_sym	right	1	1	27	1	108
1435	X_sym	right	1	1	44	1	139
1447	X_sym	right	1	1	22	2	250
1448	X_sym	right	1	1	59	1	107
1472	X_sym	right	1	1	27	2	103
1490	X_sym	right	1	1	38	2	119
1506	X_sym	right	1	1	42	2	106
1523	X_sym	right	1	1	39	2	81
1529	X_sym	right	2	1	20	1	138
1544	X_sym	right	1	1	38	2	124
1558	X_sym	right	2	1	61	2	121
1575	X_sym	right	1	1	22	2	52
1585	X_sym	right	1	1	38	2	371
1597	X_sym	right	2	1	36	2	114
1606	X_sym	right	1	1	37	2	119
1632	X_sym	right	1	1	51	2	147
1645	X_sym	right	2	1	22	1	155
1655	X_sym	right	1	1	26	2	58
1670	X_sym	right	1	1	38	2	167
1680	X_sym	right	1	1	20	1	80
1697	X_sym	right	1	1	60	1	61
1703	X_sym	right	2	1	22	2	100
1737	X_sym	right	1	1	66	2	112
1746	X_sym	right	1	1	47	1	114
1755	X_sym	right	1	1	59	2	162
1779	X_sym	right	2	1	39	2	189
1786	X_sym	right	1	1	56	2	127
1808	X_sym	right	1	1	24	1	78
1812	X_sym	right	1	1	60	2	178
1836	X_sym	right	1	1	28	2	106
1842	X_sym	right	1	1	22	1	73
1853	X_sym	right	1	1	65	2	209
1880	X_sym	right	1	1	38	1	54
1888	X_sym	right	1	1	34	1	84
1898	X_sym	right	1	1	31	2	106
1906	X_sym	right	1	1	62	1	162
1923	X_sym	right	1	1	20	2	83
1934	X_sym	right	1	1	34	2	87
1959	X_sym	right	2	1	42	1	76
1971	X_sym	right	1	1	27	2	57
1986	X_sym	right	1	1	25	2	69
1995	X_sym	right	1	1	18	2	109
2013	X_sym	right	1	1	31	1	383
2019	X_sym	right	2	1	21	1	70
2029	X_sym	right	1	1	64	2	142
2057	X_sym	right	1	1	58	1	118
2069	X_sym	right	1	1	25	1	66
